,,Team,P,W,D,L,F,A,GD,Pts,Form
1,team hasn't moved,Man City,33,24,5,4,69,24,45,77,WWon 5 - 2 against Southampton on March 10th 2021.WWon 3 - 0 against Fulham on March 13th 2021.WWon 2 - 0 against Leicester City on April 3rd 2021.LLost 1 - 2 against Leeds United on April 10th 2021.WWon 2 - 1 against Aston Villa on April 21st 2021.
2,team hasn't moved,Man Utd,33,19,10,4,64,35,29,67,WWon 1 - 0 against West Ham United on March 14th 2021.WWon 2 - 1 against Brighton & Hove Albion on April 4th 2021.WWon 3 - 1 against Tottenham Hotspur on April 11th 2021.WWon 3 - 1 against Burnley on April 18th 2021.DDrew 0 - 0 against Leeds United on April 25th 2021.
3,team hasn't moved,Leicester,33,19,5,9,60,38,22,62,WWon 5 - 0 against Sheffield United on March 14th 2021.LLost 0 - 2 against Manchester City on April 3rd 2021.LLost 2 - 3 against West Ham United on April 11th 2021.WWon 3 - 0 against West Bromwich Albion on April 22nd 2021.WWon 2 - 1 against Crystal Palace on April 26th 2021.
4,team hasn't moved,Chelsea,33,16,10,7,51,31,20,58,DDrew 0 - 0 against Leeds United on March 13th 2021.LLost 2 - 5 against West Bromwich Albion on April 3rd 2021.WWon 4 - 1 against Crystal Palace on April 10th 2021.DDrew 0 - 0 against Brighton & Hove Albion on April 20th 2021.WWon 1 - 0 against West Ham United on April 24th 2021.
5,team hasn't moved,West Ham,33,16,7,10,53,43,10,55,DDrew 3 - 3 against Arsenal on March 21st 2021.WWon 3 - 2 against Wolverhampton Wanderers on April 5th 2021.WWon 3 - 2 against Leicester City on April 11th 2021.LLost 2 - 3 against Newcastle United on April 17th 2021.LLost 0 - 1 against Chelsea on April 24th 2021.
6,team hasn't moved,Liverpool,33,15,9,9,55,39,16,54,WWon 1 - 0 against Wolverhampton Wanderers on March 15th 2021.WWon 3 - 0 against Arsenal on April 3rd 2021.WWon 2 - 1 against Aston Villa on April 10th 2021.DDrew 1 - 1 against Leeds United on April 19th 2021.DDrew 1 - 1 against Newcastle United on April 24th 2021.
7,team hasn't moved,Tottenham,33,15,8,10,56,38,18,53,WWon 2 - 0 against Aston Villa on March 21st 2021.DDrew 2 - 2 against Newcastle United on April 4th 2021.LLost 1 - 3 against Manchester United on April 11th 2021.DDrew 2 - 2 against Everton on April 16th 2021.WWon 2 - 1 against Southampton on April 21st 2021.
8,team hasn't moved,Everton,32,15,7,10,44,40,4,52,LLost 1 - 2 against Burnley on March 13th 2021.DDrew 1 - 1 against Crystal Palace on April 5th 2021.DDrew 0 - 0 against Brighton & Hove Albion on April 12th 2021.DDrew 2 - 2 against Tottenham Hotspur on April 16th 2021.WWon 1 - 0 against Arsenal on April 23rd 2021.
9,team hasn't moved,Leeds,33,14,5,14,50,50,0,47,WWon 2 - 1 against Fulham on March 19th 2021.WWon 2 - 1 against Sheffield United on April 3rd 2021.WWon 2 - 1 against Manchester City on April 10th 2021.DDrew 1 - 1 against Liverpool on April 19th 2021.DDrew 0 - 0 against Manchester United on April 25th 2021.
10,team hasn't moved,Arsenal,33,13,7,13,44,37,7,46,DDrew 3 - 3 against West Ham United on March 21st 2021.LLost 0 - 3 against Liverpool on April 3rd 2021.WWon 3 - 0 against Sheffield United on April 11th 2021.DDrew 1 - 1 against Fulham on April 18th 2021.LLost 0 - 1 against Everton on April 23rd 2021.
11,team hasn't moved,Aston Villa,32,13,6,13,46,37,9,45,LLost 0 - 2 against Tottenham Hotspur on March 21st 2021.WWon 3 - 1 against Fulham on April 4th 2021.LLost 1 - 2 against Liverpool on April 10th 2021.LLost 1 - 2 against Manchester City on April 21st 2021.DDrew 2 - 2 against West Bromwich Albion on April 25th 2021.
12,team hasn't moved,Wolves,33,11,8,14,32,45,-13,41,LLost 0 - 1 against Liverpool on March 15th 2021.LLost 2 - 3 against West Ham United on April 5th 2021.WWon 1 - 0 against Fulham on April 9th 2021.WWon 1 - 0 against Sheffield United on April 17th 2021.LLost 0 - 4 against Burnley on April 25th 2021.
13,team hasn't moved,Crystal Palace,32,10,8,14,34,54,-20,38,LLost 1 - 4 against Tottenham Hotspur on March 7th 2021.WWon 1 - 0 against West Bromwich Albion on March 13th 2021.DDrew 1 - 1 against Everton on April 5th 2021.LLost 1 - 4 against Chelsea on April 10th 2021.LLost 1 - 2 against Leicester City on April 26th 2021.
14,team hasn't moved,Burnley,33,9,9,15,30,45,-15,36,WWon 2 - 1 against Everton on March 13th 2021.LLost 2 - 3 against Southampton on April 4th 2021.LLost 1 - 2 against Newcastle United on April 11th 2021.LLost 1 - 3 against Manchester United on April 18th 2021.WWon 4 - 0 against Wolverhampton Wanderers on April 25th 2021.
15,team hasn't moved,Southampton,32,10,6,16,40,58,-18,36,LLost 2 - 5 against Manchester City on March 10th 2021.LLost 1 - 2 against Brighton & Hove Albion on March 14th 2021.WWon 3 - 2 against Burnley on April 4th 2021.LLost 0 - 3 against West Bromwich Albion on April 12th 2021.LLost 1 - 2 against Tottenham Hotspur on April 21st 2021.
16,team hasn't moved,Newcastle,33,9,9,15,36,54,-18,36,LLost 0 - 3 against Brighton & Hove Albion on March 20th 2021.DDrew 2 - 2 against Tottenham Hotspur on April 4th 2021.WWon 2 - 1 against Burnley on April 11th 2021.WWon 3 - 2 against West Ham United on April 17th 2021.DDrew 1 - 1 against Liverpool on April 24th 2021.
17,team hasn't moved,Brighton,33,7,13,13,33,39,-6,34,WWon 3 - 0 against Newcastle United on March 20th 2021.LLost 1 - 2 against Manchester United on April 4th 2021.DDrew 0 - 0 against Everton on April 12th 2021.DDrew 0 - 0 against Chelsea on April 20th 2021.LLost 0 - 1 against Sheffield United on April 24th 2021.
18,team hasn't moved,Fulham,33,5,12,16,25,43,-18,27,LLost 0 - 3 against Manchester City on March 13th 2021.LLost 1 - 2 against Leeds United on March 19th 2021.LLost 1 - 3 against Aston Villa on April 4th 2021.LLost 0 - 1 against Wolverhampton Wanderers on April 9th 2021.DDrew 1 - 1 against Arsenal on April 18th 2021.
19,team hasn't moved,West Brom,33,5,10,18,30,64,-34,25,LLost 0 - 1 against Crystal Palace on March 13th 2021.WWon 5 - 2 against Chelsea on April 3rd 2021.WWon 3 - 0 against Southampton on April 12th 2021.LLost 0 - 3 against Leicester City on April 22nd 2021.DDrew 2 - 2 against Aston Villa on April 25th 2021.
20,team hasn't moved,Sheff Utd,33,5,2,26,18,56,-38,17,LLost 0 - 5 against Leicester City on March 14th 2021.LLost 1 - 2 against Leeds United on April 3rd 2021.LLost 0 - 3 against Arsenal on April 11th 2021.LLost 0 - 1 against Wolverhampton Wanderers on April 17th 2021.WWon 1 - 0 against Brighton & Hove Albion on April 24th 2021.
